country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",7/8/2024 11:00,16.5150833,80.5181667,NH3,2,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",7/8/2024 11:00,16.5150833,80.5181667,SO2,21,24,22
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",7/8/2024 11:00,14.675886,77.593027,PM10,58,92,71
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",7/8/2024 11:00,13.20488,79.097889,NO2,7,9,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",7/8/2024 11:00,14.465052,78.824187,PM10,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",7/8/2024 11:00,14.465052,78.824187,NH3,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",7/8/2024 11:00,16.9872867,81.7363176,SO2,11,12,12
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",7/8/2024 11:00,13.67,79.35,NH3,1,2,2
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",7/8/2024 11:00,13.67,79.35,CO,15,40,25
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",7/8/2024 11:00,13.615387,79.40923,CO,16,52,24
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",7/8/2024 11:00,13.615387,79.40923,OZONE,24,34,27
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",7/8/2024 11:00,16.536107,80.594233,SO2,5,6,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",7/8/2024 11:00,16.509717,80.612222,NO2,24,45,32
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/8/2024 11:00,17.72,83.3,NH3,3,5,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",7/8/2024 11:00,27.103358,93.679645,PM10,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/8/2024 11:00,26.071318,91.87488,NO2,21,65,36
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/8/2024 11:00,26.071318,91.87488,NH3,11,14,13
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/8/2024 11:00,26.071318,91.87488,SO2,4,46,24
India,Assam,Guwahati,"IITG, Guwahati - PCBA",7/8/2024 11:00,26.2028636,91.70046436,PM10,9,63,37
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",7/8/2024 11:00,26.1875,91.744194,PM2.5,2,37,22
